sku,name,category,price,stock,description,image_url
MASS-ZM9ROD,Pariatur Facilis Pro 1,Electrónica,918.22,11,Quaerat eos laudantium nemo reprehenderit nisi ullam.,https://picsum.photos/seed/242/400/300
MASS-6GZHPM,Magni Facere Pro 2,Deportes,870.55,43,Officia nihil sequi aliquid optio magnam recusandae dolore possimus dolorem cupiditate explicabo.,https://picsum.photos/seed/193/400/300
MASS-KEYDVH,Ipsa Doloremque Pro 3,Muebles,927.42,43,Eum at quo maxime sed id illum magni nulla accusamus.,https://picsum.photos/seed/115/400/300
MASS-PD3KFS,Voluptatem Molestias Pro 4,Deportes,984.15,37,Ducimus nulla nobis nesciunt dolore mollitia ipsum.,https://picsum.photos/seed/941/400/300
MASS-5J9ICT,Nihil Placeat Pro 5,Libros,362.92,31,Earum beatae magni officiis tempore tempora.,https://picsum.photos/seed/502/400/300
MASS-IDFMR4,Totam Earum Pro 6,Libros,182.05,36,Enim neque maiores vitae laudantium aut quam beatae placeat maxime laborum magni laudantium.,https://picsum.photos/seed/240/400/300
MASS-D0PB1D,Nulla Voluptate Pro 7,Hogar,944.64,6,Non sunt beatae nihil rem aspernatur sint ducimus accusantium officiis sed.,https://picsum.photos/seed/239/400/300
MASS-SLLKWH,Incidunt Non Pro 8,Deportes,538.33,12,Eum accusantium porro inventore corrupti saepe reiciendis distinctio facere quas mollitia.,https://picsum.photos/seed/986/400/300
MASS-QSAG7T,Eaque Praesentium Pro 9,Muebles,39.97,8,Quia eos harum et sint officia qui ipsa est at.,https://picsum.photos/seed/498/400/300
MASS-RK1NW9,Nobis Est Pro 10,Electrónica,919.27,10,Aspernatur minima facere aliquid eaque mollitia distinctio culpa nesciunt cum odit fuga in.,https://picsum.photos/seed/273/400/300
MASS-KYIKRX,Deserunt Laboriosam Pro 11,Hogar,605.37,16,Commodi recusandae deleniti iusto molestiae saepe culpa corporis laudantium fuga nulla ipsum.,https://picsum.photos/seed/658/400/300
MASS-HJ460M,Neque Magni Pro 12,Electrónica,229.21,31,At deserunt consequuntur corrupti magnam sequi fuga quas dolor laborum dolore.,https://picsum.photos/seed/951/400/300
MASS-WIF388,Esse In Pro 13,Hogar,823.4,48,Laborum dignissimos ea exercitationem mollitia voluptatem accusantium accusantium aspernatur corrupti.,https://picsum.photos/seed/38/400/300
MASS-HKM4CC,Voluptatibus Amet Pro 14,Deportes,80.09,27,Quo aut possimus saepe libero quasi velit cum amet ipsa.,https://picsum.photos/seed/308/400/300
MASS-XYZKD9,A Occaecati Pro 15,Hogar,662.8,41,Voluptates molestias mollitia fugiat aperiam perspiciatis minima exercitationem fugit nulla.,https://picsum.photos/seed/583/400/300
MASS-IDHIOR,Consectetur Quaerat Pro 16,Hogar,65.56,41,Nihil voluptatem ipsam necessitatibus sint recusandae ut laborum consectetur.,https://picsum.photos/seed/618/400/300
MASS-1CAQO6,Corrupti Incidunt Pro 17,Muebles,507.47,48,Esse optio laboriosam temporibus labore distinctio magnam molestias cupiditate autem sit rerum neque rerum.,https://picsum.photos/seed/143/400/300
MASS-S1JP0L,Rem Harum Pro 18,Hogar,250.03,35,Quaerat porro quos ratione animi esse amet quibusdam assumenda natus illo.,https://picsum.photos/seed/632/400/300
MASS-Y1570C,Porro Nam Pro 19,Deportes,781.48,26,Ipsam magnam facilis sapiente repellendus impedit.,https://picsum.photos/seed/468/400/300
MASS-4U1A6E,Assumenda Molestias Pro 20,Muebles,877.96,13,Quos inventore quasi corrupti soluta incidunt.,https://picsum.photos/seed/122/400/300
MASS-D2X5YN,Hic Ipsam Pro 21,Deportes,836.3,42,Nihil porro nisi voluptate voluptates alias.,https://picsum.photos/seed/733/400/300
MASS-FH5CLS,Asperiores Esse Pro 22,Deportes,415.74,31,Rerum molestias et ut ea quasi.,https://picsum.photos/seed/794/400/300
MASS-K9D9E5,Deserunt Reprehenderit Pro 23,Electrónica,901.41,37,Magni voluptates vel eius reiciendis quia tenetur.,https://picsum.photos/seed/291/400/300
MASS-1RM18C,Aut Harum Pro 24,Ropa,196.89,10,Dolor magni amet necessitatibus voluptas dolor esse dolorem consequuntur unde quisquam.,https://picsum.photos/seed/867/400/300
MASS-R91AX9,Cum Asperiores Pro 25,Ropa,76.96,20,Est repellendus nobis sequi sunt vero.,https://picsum.photos/seed/637/400/300
MASS-K9TARD,Nobis Facilis Pro 26,Muebles,33.69,39,Maxime veniam iste rerum quae quae iusto nostrum consectetur earum laudantium veniam.,https://picsum.photos/seed/388/400/300
MASS-XYPPUO,Non Consequuntur Pro 27,Hogar,173.32,24,Ut architecto et quaerat labore unde ex dolores sunt.,https://picsum.photos/seed/770/400/300
MASS-KTUDYR,Dolores Eius Pro 28,Electrónica,470.98,46,Adipisci rerum optio maiores molestias ab.,https://picsum.photos/seed/873/400/300
MASS-WE4DHX,Ipsam Non Pro 29,Hogar,419.27,21,Libero quasi magnam eligendi provident veniam beatae delectus error libero laboriosam eius facere.,https://picsum.photos/seed/302/400/300
MASS-HJT8GO,Ab Saepe Pro 30,Deportes,551.95,14,Vel aspernatur assumenda harum porro eveniet explicabo alias quas fugit earum.,https://picsum.photos/seed/637/400/300
MASS-MCUZF5,Tenetur Rem Pro 31,Muebles,659.9,41,Nihil temporibus expedita impedit architecto est est libero cupiditate eos.,https://picsum.photos/seed/114/400/300
MASS-W2CMKA,Blanditiis Odio Pro 32,Hogar,904.31,41,Veniam molestiae sequi ducimus voluptatibus modi illum rerum libero eligendi nihil.,https://picsum.photos/seed/496/400/300
MASS-V0L9AS,Architecto Fuga Pro 33,Muebles,218.14,32,Tempora repellendus sunt explicabo sed animi eius.,https://picsum.photos/seed/386/400/300
MASS-DN3GF5,Magnam Est Pro 34,Electrónica,941.16,45,Aliquam ratione blanditiis commodi enim dolorem.,https://picsum.photos/seed/143/400/300
MASS-Q7C9IL,Ipsam Optio Pro 35,Ropa,732.86,49,Vitae optio repellat repellendus quis occaecati.,https://picsum.photos/seed/316/400/300
MASS-ZHVYW9,Minima Incidunt Pro 36,Electrónica,133.83,23,Saepe nisi quos harum quasi quae quos temporibus culpa perferendis doloribus libero aperiam.,https://picsum.photos/seed/633/400/300
MASS-QQD2YH,Quis Molestias Pro 37,Deportes,734.76,9,Eius doloribus vero odio perferendis consectetur necessitatibus reiciendis recusandae omnis iste eligendi ut.,https://picsum.photos/seed/325/400/300
MASS-5P46JL,Ducimus Dolores Pro 38,Hogar,555.98,37,Odio optio perspiciatis neque quam nostrum voluptates voluptates.,https://picsum.photos/seed/600/400/300
MASS-NRCJ8X,Nobis Odit Pro 39,Electrónica,237.05,41,Iusto iste nemo dicta nostrum delectus provident et totam maxime labore.,https://picsum.photos/seed/439/400/300
MASS-S7B87X,Quia Commodi Pro 40,Libros,216.12,6,Non praesentium minus aperiam ad dolorem laboriosam ipsum quisquam cum corporis.,https://picsum.photos/seed/106/400/300
MASS-FP1HEO,Accusantium Distinctio Pro 41,Muebles,553.86,38,Minus facilis laborum quidem magni vitae tempora corrupti exercitationem saepe natus error vitae.,https://picsum.photos/seed/801/400/300
MASS-ZTM2YP,Fuga A Pro 42,Deportes,998.96,25,Error atque architecto fuga accusantium eos reiciendis libero illo vero nesciunt cupiditate possimus.,https://picsum.photos/seed/699/400/300
MASS-2ATP9G,Voluptates Velit Pro 43,Libros,745.46,15,Illo voluptatibus consectetur soluta rem veniam.,https://picsum.photos/seed/929/400/300
MASS-DHKQXJ,Corporis Quam Pro 44,Libros,466.27,8,Dolorem vitae amet quaerat beatae molestiae dicta.,https://picsum.photos/seed/715/400/300
MASS-4Y71A0,Quasi Dolore Pro 45,Electrónica,227.72,45,Maiores temporibus consequatur laboriosam doloribus beatae asperiores perspiciatis voluptatibus.,https://picsum.photos/seed/673/400/300
MASS-FS9LPY,Amet Laboriosam Pro 46,Deportes,103.77,48,Sit consequuntur libero ipsam facere explicabo corrupti quibusdam consequuntur.,https://picsum.photos/seed/256/400/300
MASS-4FWI8H,Suscipit Doloribus Pro 47,Hogar,435.29,8,Illo provident sunt ut maiores porro unde possimus.,https://picsum.photos/seed/197/400/300
MASS-Z5WSJB,Aspernatur Quasi Pro 48,Ropa,813.54,15,Aperiam assumenda natus fuga tempore labore.,https://picsum.photos/seed/135/400/300
MASS-Z99ALV,Est Nulla Pro 49,Libros,496.44,24,Quasi dicta asperiores accusantium nisi dicta voluptatem eligendi maiores.,https://picsum.photos/seed/587/400/300
MASS-ZFMKUS,Animi Harum Pro 50,Hogar,589.19,37,Aut nihil ea accusamus consequatur ullam earum libero aliquam voluptas quia suscipit voluptatibus.,https://picsum.photos/seed/650/400/300
MASS-WBKT8G,Consequatur Rem Pro 51,Ropa,355.75,5,Suscipit voluptatem iste praesentium minus repellat fugiat.,https://picsum.photos/seed/531/400/300
MASS-3L8FNB,Consequuntur Vitae Pro 52,Hogar,943.79,17,Repellendus incidunt nemo consequuntur architecto ullam hic ducimus.,https://picsum.photos/seed/207/400/300
MASS-ONHUXF,Fuga Molestiae Pro 53,Ropa,370.42,7,Rerum quisquam officia doloremque doloribus rerum distinctio praesentium autem.,https://picsum.photos/seed/766/400/300
MASS-PKACB1,Nostrum In Pro 54,Electrónica,802.67,6,Ab aliquam natus exercitationem nobis nihil maxime sapiente quibusdam qui sit commodi.,https://picsum.photos/seed/255/400/300
MASS-KOTV7G,Quae Esse Pro 55,Libros,570.47,45,Eos maiores culpa laudantium mollitia iure aperiam similique.,https://picsum.photos/seed/691/400/300
MASS-5R77CK,Hic Expedita Pro 56,Libros,122.29,25,Exercitationem minima quae suscipit quidem repellat illum.,https://picsum.photos/seed/855/400/300
MASS-0B448R,Excepturi Dicta Pro 57,Electrónica,436.84,45,Odit totam dicta itaque vitae quaerat corrupti officiis.,https://picsum.photos/seed/759/400/300
MASS-FPPWH9,Dolores Repellendus Pro 58,Muebles,888.76,42,Tempora totam inventore eligendi ipsa dolorum recusandae enim distinctio incidunt deserunt hic distinctio.,https://picsum.photos/seed/561/400/300
MASS-OVJ4C0,Corporis Totam Pro 59,Muebles,542.09,39,Natus culpa ipsum soluta corporis asperiores cupiditate adipisci magni.,https://picsum.photos/seed/586/400/300
MASS-7HSCOV,Earum Aspernatur Pro 60,Ropa,425.65,25,Qui culpa eaque debitis saepe eligendi laudantium hic quo id molestiae architecto.,https://picsum.photos/seed/275/400/300
MASS-0CIKNW,Dolores Repellendus Pro 61,Deportes,159.76,30,Qui incidunt provident eum dolorem nemo sunt cumque accusamus amet placeat laborum.,https://picsum.photos/seed/634/400/300
MASS-C3QX3L,Dolor Numquam Pro 62,Electrónica,915.44,21,Ipsa cumque quas ab iure ipsam ad dolore maxime nulla temporibus dolorem.,https://picsum.photos/seed/258/400/300
MASS-0IRVMG,Fugit Beatae Pro 63,Hogar,415.39,6,Asperiores animi praesentium vel iusto sed rem porro fugiat ad totam modi vitae.,https://picsum.photos/seed/6/400/300
MASS-6XCBAX,Similique Facere Pro 64,Hogar,348.67,47,Accusamus ullam laboriosam numquam consequatur doloremque.,https://picsum.photos/seed/272/400/300
MASS-LIIEKJ,Nihil Officiis Pro 65,Hogar,962.71,8,Natus est praesentium eveniet voluptate expedita eligendi facere enim esse possimus.,https://picsum.photos/seed/427/400/300
MASS-KDX5MB,Laborum Quidem Pro 66,Ropa,766.39,33,Cumque iste sequi dolorum quisquam cum in qui maiores cum officia.,https://picsum.photos/seed/729/400/300
MASS-Q7SVIZ,Odit Nulla Pro 67,Libros,590.14,13,Quo animi magnam molestiae rerum rerum sapiente itaque.,https://picsum.photos/seed/294/400/300
MASS-GW7SYM,Modi Dolorem Pro 68,Muebles,37.65,29,Praesentium dicta ipsam nobis ipsam laborum excepturi excepturi aut et unde voluptate.,https://picsum.photos/seed/651/400/300
MASS-Y9F3OS,At Nam Pro 69,Muebles,42.54,33,Quod nulla cumque debitis maxime amet dolores ducimus laboriosam architecto.,https://picsum.photos/seed/42/400/300
MASS-4RKEDA,Ipsa Ullam Pro 70,Deportes,766.55,26,Soluta at animi sit dolore molestias suscipit soluta asperiores reprehenderit consectetur.,https://picsum.photos/seed/123/400/300
MASS-A186KK,Excepturi Distinctio Pro 71,Ropa,115.67,9,Itaque ut laudantium unde ut incidunt laboriosam.,https://picsum.photos/seed/864/400/300
MASS-DX8KC2,At Culpa Pro 72,Muebles,651.76,26,Sit quia vel nesciunt libero impedit.,https://picsum.photos/seed/289/400/300
MASS-8ABGRF,Ea Rem Pro 73,Hogar,254.26,24,Nemo repellendus in quam iure saepe sequi tempore.,https://picsum.photos/seed/682/400/300
MASS-EJQ1NH,Eos Inventore Pro 74,Hogar,126.75,46,Facilis facilis ab aperiam ea hic neque odit.,https://picsum.photos/seed/415/400/300
MASS-6MBALC,Iure Soluta Pro 75,Muebles,972.64,39,Culpa ducimus et harum voluptatibus atque.,https://picsum.photos/seed/99/400/300
MASS-4X29T0,Corporis Ducimus Pro 76,Deportes,47.83,41,Asperiores atque exercitationem veritatis eveniet dolorem neque a laborum officia dolores saepe in.,https://picsum.photos/seed/255/400/300
MASS-LYUI60,Voluptates Veniam Pro 77,Hogar,206.64,44,Laboriosam dolores doloribus earum eligendi esse.,https://picsum.photos/seed/658/400/300
